PubCHEM,isosmiles
2345,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2
2346,C1=CC=C(C=C1)CN=C=S
2350,C1CN(CCC1OC(C2=CC=C(C=C2)Cl)C3=CC=CC=N3)CCCC(=O)O
2351,CC(C)COCC(CN(CC1=CC=CC=C1)C2=CC=CC=C2)N3CCCC3
2352,CC#CCC(C)C(C=CC1C(CC2C1C3=CC=CC(=C3O2)CCCC(=O)O)O)O
2353,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC
2355,COC1=C2C=CC(=O)OC2=CC3=C1C=CO3
2358,COC1=CC2=C(C=C1)N(C(=O)C(O2)O)O
2365,C1COC1=O
2366,CNCCC1=CC=CC=N1
2368,CNC(=NC)NCC1=CC=CC=C1
2369,CC(C)NCC(COC1=CC=C(C=C1)CCOCC2CC2)O
2370,CC(C[N+](C)(C)C)OC(=O)N
2372,CC1=CC(=CC=C1)OCC(CNCCC2=CC(=C(C=C2)OC)OC)O
2375,CC(CS(=O)(=O)C1=CC=C(C=C1)F)(C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F)O
2378,C1=CC=C(C=C1)C2=CC=C(C=C2)C(C3=CC=CC=C3)N4C=CN=C4
2381,C1CCN(CC1)CCC(C2CC3CC2C=C3)(C4=CC=CC=C4)O
2391,CC(=O)OC1=CC=C(C=C1)C(C2=CC=C(C=C2)OC(=O)C)C3=CC=CC=N3
2405,CC(C)NCC(COC1=CC=C(C=C1)COCCOC(C)C)O
2406,C1=C(C=C(C(=C1SC2=C(C(=CC(=C2)Cl)Cl)O)O)Cl)Cl
2431,CC[N+](C)(C)CC1=CC=CC=C1Br
2435,C1CN=C(N1)NC2=C(C3=NC=CN=C3C=C2)Br
2441,C1C(=O)NC2=C(C=C(C=C2)Br)C(=N1)C3=CC=CC=N3
2442,CN(CC1=C(C(=CC(=C1)Br)Br)N)C2CCCCC2
2444,CN(C)CCOC(C1=CC=CC=C1)C2=CC=C(C=C2)Br
2446,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Br
2448,C1CN(CCC1(C2=CC=C(C=C2)Br)O)CCCC(=O)C3=CC=C(C=C3)F
2450,C(C(CO)([N+](=O)[O-])Br)O
2451,CC1=NN=C2N1C3=C(C=C(S3)Br)C(=NC2)C4=CC=CC=C4Cl
2462,CCCC1OC2CC3C4CCC5=CC(=O)C=CC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C
2466,CCCCOC1=CC=C(C=C1)CC(=O)NO
2471,CCCCNC1=C(C(=CC(=C1)C(=O)O)S(=O)(=O)N)OC2=CC=CC=C2
2472,CCCC(=O)N1CCCN(CC1)C2=NC3=CC(=C(C=C3C(=N2)N)OC)OC
2474,CCCCN1CCCCC1C(=O)NC2=C(C=CC=C2C)C
2475,CC1=CC(=C(C=C1)Cl)OCC(CNC(C)(C)C)O
2477,C1CCC2(C1)CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)C4=NC=CC=N4
2478,CS(=O)(=O)OCCCCOS(=O)(=O)C
2479,CCC(C)C1(C(=O)NC(=O)NC1=O)CC
2481,CC(C)CC1(C(=O)NC(=O)NC1=O)CC=C
2482,CCCCOC(=O)C1=CC=C(C=C1)N
2484,CC(C)(C)C1=CC=C(C=C1)CN(C)CC2=CC=CC3=CC=CC=C32
2513,C[As](=O)(C)O
2519,CN1C=NC2=C1C(=O)N(C(=O)N2C)C
2520,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC
2522,CC(C=CC(C1CC1)O)C2CCC3C2(CCCC3=CC=C4CC(CC(C4=C)O)O)C
2524,CC(CCCC(C)(C)O)C1CCC2C1(CCCC2=CC=C3CC(CC(C3=C)O)O)C
2528,CC(=O)NC1=C(C(=C(C(=C1I)C(=O)O)I)N(C)C(=O)C)I
2533,CC(CC1=C2C3=C(C(=C(C4=C3C(=C5C2=C(C(=O)C=C5OC)C(=C1OC)O)C(=CC4=O)OC)O)OC)CC(C)OC(=O)OC6=CC=C(C=C6)O)OC(=O)C7=CC=CC=C7
2536,CN(C)C(=O)COC(=O)CC1=CC=C(C=C1)OC(=O)C2=CC=C(C=C2)N=C(N)N
2537,CC1(C2CCC1(C(=O)C2)C)C
2540,CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)OC(C)OC(=O)OC6CCCCC6
2541,CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)O
2543,CCCCCC1=CC(=C2C(=C1)OC(C3=C2C=C(C=C3)C)(C)C)O
2551,C[N+](C)(C)CCOC(=O)N
2554,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N
2555,C1=CC=C2C(=C1)C3C(O3)C4=CC=CC=C4N2C(=O)N
2562,CCN(CC)CCOCCOC(=O)C1(CCCC1)C2=CC=CC=C2
2564,CN(C)CCOC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2
2576,CCCC(C)(COC(=O)N)COC(=O)NC(C)C
2578,C(CCl)NC(=O)N(CCCl)N=O
2581,CC(C1=CC2=C(C=C1)C3=C(N2)C=CC(=C3)Cl)C(=O)O
